subNo index block level mean periodicity nEvents pressedKey answer isCorrect rt s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 seqDuration startInterval trialDuration 
3.0000 63.0000 1.0000 4.0000 4.0000 1.0000 5.0000 8 1.0000 1.0000 1.5150 4.9260 12.2171 2.2281 5.1757 -2.5518 14.7991 -1.3292 1.9542 3.5161 8.5497 -2.3700 3.8359 2.7907 -0.6737 -2.5199 7.2059 0.9489 4.7108 9.4145 8.6228 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.5066 3.0154 
3.0000 67.0000 1.0000 0.0000 0.0000 0.0000 12.0000 2 -1.0000 1.0000 3.8560 -1.0754 5.3656 -1.7511 1.4287 -9.5307 -3.0355 2.6721 1.5692 10.7453 -10.9620 -1.6272 6.2685 -0.1720 4.4305 1.5245 1.0222 -0.3191 -0.3861 -4.2374 -2.0256 0.4732 0.2077 0.2582 0.5230 0.3976 0.2987 0.4092 0.2139 0.4283 0.3356 0.2078 0.2377 0.4908 0.2150 0.4707 0.3188 0.2158 0.2536 0.3687 6.3246 1.5572 5.4234 
3.0000 64.0000 1.0000 -4.0000 -4.0000 0.0000 6.0000 2 -1.0000 1.0000 1.9120 -5.5161 -5.3625 9.7376 -12.1474 -6.8031 0.5313 -3.7565 -3.5098 -9.0417 -6.4787 -4.7410 3.7866 -5.2736 -1.3726 -8.7273 1.4579 -4.7862 -5.3028 -5.9597 -7.3123 0.4933 0.2063 0.4652 0.3522 0.2251 0.3212 0.3996 0.2562 0.2282 0.4467 0.3434 0.2696 0.2203 0.4321 0.2457 0.4973 0.3678 0.3022 0.2647 6.3370 1.5661 3.4961 
3.0000 30.0000 1.0000 -2.0000 -2.0000 1.0000 9.0000 2 -1.0000 1.0000 2.8480 -3.0742 3.0875 2.1271 3.8286 -0.7035 -4.2300 -7.8364 -13.3527 -2.0412 1.2557 -6.6723 2.3079 6.9251 -0.0610 -2.9485 2.3608 -0.3244 -5.3504 -6.7249 -6.7440 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.6149 4.4823 
3.0000 5.0000 1.0000 1.0000 1.0000 1.0000 13.0000 8 1.0000 1.0000 4.0230 4.6509 -1.0666 1.5275 -3.5367 -1.9839 2.0010 4.3101 0.7122 -6.9759 2.2741 0.4647 8.3259 7.9653 -4.7024 7.9567 -0.5952 -2.2032 10.3588 -3.7473 -6.8075 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4376 5.4739 
3.0000 49.0000 1.0000 4.0000 4.0000 1.0000 10.0000 8 1.0000 1.0000 3.0480 8.5614 0.0333 11.8494 7.0991 5.3370 12.2630 1.4147 -2.6576 11.5734 7.8238 4.0101 2.2447 4.6992 -2.3417 5.9488 -5.2260 4.1009 3.4210 0.3647 -0.8892 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 0.3330 6.3270 1.4334 4.4989 
3.0000 37.0000 1.0000 -2.0000 -2.0000 0.0000 12.0000 8 1.0000 0.0000 4.2760 1.7376 -6.0740 -2.2593 -0.3336 -0.7816 7.0878 1.4207 -3.6170 -0.0594 1.0417 -9.8174 2.8890 -10.9303 -9.2768 -7.6088 -2.7252 -2.5845 6.9822 -3.0657 -3.1331 0.3673 0.2251 0.2876 0.4850 0.4594 0.3651 0.2050 0.5056 0.2937 0.5216 0.2087 0.4742 0.2049 0.2859 0.2012 0.2576 0.3424 0.2898 0.3401 6.3202 1.5353 5.8271 
3.0000 24.0000 1.0000 -1.0000 -1.0000 0.0000 4.0000 2 -1.0000 1.0000 1.0920 -1.9164 -12.4154 -3.6362 1.1867 6.3146 5.2515 -5.2310 0.4852 3.5558 -3.1206 0.1639 -0.5342 -5.6301 -4.3286 6.8235 5.7373 -3.1538 0.2027 -6.2343 -5.2820 0.2352 0.3307 0.5207 0.2027 0.3342 0.5298 0.2493 0.3939 0.2566 0.3557 0.3272 0.3913 0.2558 0.3079 0.2170 0.3560 0.2115 0.3798 0.4622 6.3176 1.6841 2.7762 
3.0000 10.0000 1.0000 -1.0000 -1.0000 0.0000 6.0000 2 -1.0000 1.0000 1.8670 -1.5148 -5.2591 0.2245 -7.7909 -4.3163 9.3934 -4.5771 -5.1384 4.8790 -1.5312 -9.4407 -0.3311 4.9115 -0.3081 -5.3752 -1.7139 7.2645 3.2712 -3.4800 -0.8505 0.2886 0.4867 0.2126 0.3711 0.3136 0.2210 0.4947 0.2002 0.3647 0.2353 0.3624 0.3929 0.2871 0.2204 0.3322 0.4656 0.2124 0.4984 0.3690 6.3289 1.5831 3.4517 
3.0000 56.0000 1.0000 4.0000 4.0000 0.0000 9.0000 8 1.0000 1.0000 2.6570 3.8749 -2.4714 3.5708 0.1785 3.0701 4.7270 0.1149 5.6654 11.3394 4.4662 -1.0991 6.5997 4.4037 0.2849 0.2895 3.8653 4.6844 1.7014 20.0095 6.5626 0.3130 0.4522 0.2033 0.2966 0.5299 0.2186 0.3508 0.2299 0.3246 0.2511 0.3395 0.4209 0.2324 0.5082 0.4212 0.2609 0.3773 0.2357 0.3606 6.3266 1.7239 4.3907 
